seq_name,H_1_2,H_1_3,H_1_4,H_1_5,H_1_6
v_abstract,0.09318411432802895,0.08262450157887351,0.1336012820463153,0.20784426737258113,0.22917848150260883
v_adam,0.09145802632065637,0.11605777669155261,0.17714335226207437,0.1465943456442201,0.152170655928577
v_apprentices,0.05352068417847316,0.14222897277924615,0.15999484104696574,0.20146781395234195,0.2631098159333154
v_artisans,0.27776805774713037,0.2638286926100067,0.21671706778969815,6.488906129457636,0.2281238209909242
v_astronautis,0.27235302983833326,0.3008400365432046,0.29746053899560937,0.42851853086030184,0.4030290139445397
v_azzola,0.12089532592352414,0.19069373378271612,0.12479875044363892,0.20156047214634243,0.22355852222946954
v_bark,0.27401429769258717,0.6693261927322216,0.5030398896917989,0.3137982039662666,0.5017146489341091
v_bees,0.06673388656785995,0.06892616942276572,0.08850507183502983,0.15728120054686856,0.10965440954550135
v_beyus,0.18507298658945712,0.17705480606726604,0.1384263325811527,0.20132609117622263,0.17839422469571498
v_bip,0.12352222656001187,0.13911399952470968,0.1719716187803374,0.2924531371670873,0.25303115073715404
v_bird,0.2650392216916584,0.3069600510399615,0.25698946534149386,0.22541670311650258,0.36455801960447015
v_birdwoman,0.25399775570548294,0.2097284468862319,0.1744374046179865,0.1337649043927177,0.1873141214975117
v_blueprint,0.08280814443859759,0.14211788973271514,0.15942876727410213,0.22892879153992945,0.28087616720954045
v_boat,0.10394228149942689,0.24989485200189512,0.3014053510135601,0.40445977224193475,0.22361864205821108
v_bricks,0.05990645976244249,0.09277427528886471,0.16429106730381668,0.19857589070068868,0.23563964768648163
v_busstop,0.16384138623096794,0.24076781351754786,0.23278232477260985,0.16889507995747643,0.1261947140483245
v_calder,0.15755963853100163,0.1841613767531201,0.19565302436275772,0.263969147714246,0.293694054550454
v_cartooncity,0.19424649829512874,0.30109183458669514,0.2119428274970814,0.19510901844355474,0.2736977659034139
v_charing,0.20969565176464114,0.39358836541613607,0.29996927352202823,0.3395302862798651,0.42256523136131063
v_churchill,0.1563921412668329,0.18753297697886986,0.18032946960210783,0.09406480960791984,0.20515923745930464
v_circus,0.10686793568120694,0.11072783783739919,0.12775678587567407,0.13336246337646152,0.1461043849306439
v_coffeehouse,0.09742061801102345,0.1419092750545624,0.2234970398799782,0.11254092841846122,0.21116462920345908
v_colors,0.05478966547112921,0.08003360378898845,0.18008950295879003,0.23399700622482314,0.28374317688634876
v_courses,0.08530142858233362,0.1611557763042244,0.1759758318510286,0.22343456440691467,0.25856348953151265
v_dirtywall,0.08429120221918289,0.10325981311864789,0.11701791609768543,0.12233849170878212,0.1800074544968631
v_dogman,0.09696455351100071,0.07074644903716149,0.19518957182661445,0.15410340970852193,0.2878976853337385
v_eastsouth,0.062202803318868016,0.2397735089012513,0.35252384037548407,0.2587751498330721,0.24225518212904398
v_feast,0.12288959982383092,0.15048025645294077,0.24666703217320377,0.17806952935472953,0.21966827749691387
v_fest,0.124913868732201,0.23173943717158152,0.2851021701132067,0.23495153148111286,0.22799121227232186
v_gardens,0.14146603026716723,0.30762718546301016,0.094129510915888,0.26322642543611413,0.20484805632972322
v_grace,0.10884209782610439,0.15665453411142832,0.1866638714416671,0.2829359634287038,0.32347716158095474
v_graffiti,0.13936764935830628,0.1449805556068866,0.21917916107455948,0.1855954418497814,0.2630046326380235
v_home,0.20474671442607828,0.2351327046121997,0.20107514537276347,0.2637339642129094,0.25939646045122455
v_laptop,0.09121343497388429,0.21014665446320113,0.2966066122814569,0.3916000301532828,0.401278698920467
v_london,0.13255144280810746,0.21540551572341401,0.11896894213191729,0.10874975704721102,0.07859837149833875
v_machines,0.0980500236953534,0.14897553435958347,0.1540066378403459,0.21406847583327748,0.1305613690636794
v_man,0.12923969410746522,0.24915908057645553,0.1976793090740789,0.1425505592260693,0.1507188739870239
v_maskedman,0.09059825908926752,0.15608249676729216,0.15925718066979716,0.09976662299043058,0.24939987323581536
v_pomegranate,0.08272204931490003,0.08506328109726535,0.09724574822420133,0.13435873434650142,0.11588935672265611
v_posters,0.30173371484081296,0.2904922455275433,0.33542327010907186,0.34441444771543683,0.2898304874057897
v_samples,0.17930130575127953,0.15155126773931635,0.2082380292011506,0.1464413920824135,0.23501150606112253
v_soldiers,0.13102013639237958,0.19808664983775962,0.2911547405446678,0.37914059062021027,0.23182040929266845
v_strand,0.03607851572817526,0.10851805517937896,0.1016901107447743,0.13020731183751907,0.10605132323805384
v_sunseason,0.027647463558652902,0.05978834589707766,0.15330023252373137,0.20751553587627802,0.2629140815326879
v_tabletop,0.2832265724387946,0.2667798627370511,0.30383184892591214,0.28500590792488967,0.294423584068193
v_talent,0.3319754169166004,0.341461941245382,0.2616542986782909,0.28589100093474434,0.35686350559468377
v_tempera,0.12334134465951108,0.15751852923670684,0.15846620007992138,0.19128286511817857,0.30026251139520405
v_there,0.09630492076463752,0.21083055682007465,0.24712004005383717,0.2670173466539398,0.2946680048459733
v_underground,0.09362852657351804,0.15121490716198188,0.2334661193429645,0.29430234514244696,0.3210412610962338
v_vitro,0.09762920705284861,0.1461730227948357,0.168170126120494,0.1105765711521472,0.12634661354942384
v_wall,0.06082143180673728,0.1228835564443256,0.06867791233623034,0.12811617544923629,0.12996683498365957
v_wapping,0.07581942705863116,0.22060452242243797,0.12707211193052917,0.2768929840627536,0.28406956076171497
v_war,0.1995864258232846,0.23905607766911607,0.11949561231094472,0.1401800151094767,0.23663233644989898
v_weapons,0.19900174092547623,0.15232902947337063,0.1603328460710415,0.1327605026597974,0.18718204397792318
v_woman,0.14517490805264194,0.19319698295902724,0.2102218622773728,0.18021028868603206,0.12597005716707255
v_wormhole,0.11977562812195088,0.09749616923839893,0.08074613271346164,0.1655015200353416,0.25526585026149934
v_wounded,0.1059624567736584,0.1896448804928661,0.26847881610824104,0.1834061403990908,0.26906464711207806
v_yard,0.15217950883532752,0.3176923073646674,0.15167688662771814,0.22487988043574453,0.22995629578871235
v_yuri,0.0058859314316692295,0.22765466011217397,0.36310250067337796,0.14505185957359037,0.2580843997774734
